ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
BB/R;3;1;3;439;4;15/08/2022;MG;4618;0.2866637;919.56;3;12/08/2022;1086;MG;1.9;1.9;2.4;2.3;51.1;50.9;53.3;52.5;41.9;40.9;43.6;44.6;4;8;6;14;3;0;2;0;0;0;E
BG/B;5;1;3;237;4;16/08/2022;MG;4623;0.2547289;824.98;4;13/08/2022;4604;MG;2.7;2.5;3.1;2.7;56.1;57.5;58.0;56.8;43.2;45.6;46.7;47.0;0;1;2;3;7;3;0;0;0;1;E
BR/B;4;1;3;46;3;16/08/2022;MG;1109;0.2351165;1114.74;1;13/08/2022;1;SGG;2.6;2.8;2.5;2.3;52.1;54.8;54.6;54.9;41.6;44.8;44.9;44.2;0;8;2;10;12;6;0;0;0;1;E
BR/R;1;1;3;36;4;17/08/2022;MG;4630;0.2946506;693.43;2;14/08/2022;707;SGG;2.1;2.4;2.3;2.0;52.5;52.3;53.3;54.7;42.0;44.4;44.1;43.6;2;6;2;8;5;0;0;0;0;0;E
RG/G;6;1;3;231;2;15/08/2022;SGG;712;0.2900378;563.43;1;12/08/2022;2;JAP;1.9;1.9;2.1;2.1;49.4;47.9;52.1;50.7;41.2;38.6;42.4;42.0;4;15;3;18;11;3;0;0;2;0;E
RR/R;2;1;3;141;2;17/08/2022;JAP;4;0.3167922;717.78;4;14/08/2022;4612;MG;2.4;2.0;2.1;2.1;52.9;52.4;54.4;51.4;41.7;43.2;42.2;41.1;0;0;0;0;7;0;0;0;2;1;E
BB/R;3;1;4;70;1;23/08/2022;MG;4767;0.3638434;582.93;1;18/08/2022;2;MG;1.9;1.9;2.4;2.3;51.1;50.9;53.3;52.5;41.9;40.9;43.6;44.6;4;8;6;14;3;0;2;0;0;0;E
BG/B;5;1;4;43;2;24/08/2022;MG;3;0.1670359;462.51;1;19/08/2022;2;MG;2.7;2.5;3.1;2.7;56.1;57.5;58.0;56.8;43.2;45.6;46.7;47.0;0;1;2;3;7;3;0;0;0;1;E
BR/B;4;1;4;15;2;24/08/2022;MG;1;0.2972973;581.39;4;19/08/2022;4642;MG;2.6;2.8;2.5;2.3;52.1;54.8;54.6;54.9;41.6;44.8;44.9;44.2;0;8;2;10;12;6;0;0;0;1;E
BR/R;1;1;4;159;2;25/08/2022;MG;2.1;0.2733717;542.96;4;22/08/2022;4648;VM;2.1;2.4;2.3;2.0;52.5;52.3;53.3;54.7;42.0;44.4;44.1;43.6;2;6;2;8;5;0;0;0;0;0;E
RG/G;6;1;4;83;1;23/08/2022;MG;4769;0.316855;600.08;2;18/08/2022;769;MG;1.9;1.9;2.1;2.1;49.4;47.9;52.1;50.7;41.2;38.6;42.4;42.0;4;15;3;18;11;3;0;0;2;0;E
RR/R;2;1;4;57;3;25/08/2022;VM;4674;0.2552995;978.35;2;22/08/2022;1133;MG;2.4;2.0;2.1;2.1;52.9;52.4;54.4;51.4;41.7;43.2;42.2;41.1;0;0;0;0;7;0;0;0;2;1;E
BB/B;7;2;3;418;4;15/08/2022;MG;4616;0.3380594;753.96;2;12/08/2022;694;JAP;3.8;4.3;3.3;3.2;59.8;60.1;62.7;62.4;47.2;48.8;50.2;49.5;4;8;9;17;20;0;0;0;0;0;E
BB/G;12;2;3;85;1;17/08/2022;JAP;764;0.3635982;502.88;1;14/08/2022;3;SGG;3.2;2.6;2.8;2.4;56.9;56.6;58.9;56.6;45.8;45.5;46.4;46.6;28;40;22;62;17;0;0;0;2;0;E
RB/B;11;2;3;358;1;15/08/2022;SGG;2;0.1958106;714.51;4;12/08/2022;4598;MG;2.8;3.2;2.6;2.5;56.1;55.2;58.1;57.7;45.2;44.9;45.2;46.4;6;11;6;17;5;0;0;0;1;1;E
RB/G;8;2;3;11;3;17/08/2022;MG;1113;0.3130631;753.74;2;14/08/2022;706;SGG;2.6;2.4;2.7;2.4;54.1;54.2;56.6;55.9;44.3;44.6;44.6;46.0;2;6;3;9;7;4;0;0;1;0;E
RB/R;10;2;3;72;1;16/08/2022;JAP;4759;0.2755871;661.07;2;13/08/2022;699;SGG;1.9;1.6;2.0;2.0;48.3;52.7;52.6;51.0;40.5;44.0;42.8;41.9;4;20;1;21;28;8;0;0;3;0;E
RR/B;9;2;3;119;1;16/08/2022;JAP;4758;0.2466044;606.36;4;13/08/2022;4606;MG;2.7;3.2;2.9;2.9;53.5;56.0;57.2;58.0;45.9;47.6;46.1;46.4;2;28;3;31;4;1;0;0;2;0;E
BB/B;7;2;4;18;2;23/08/2022;MG;3;0.3093137 ;500.66;2;18/08/2022;1121;MG;3.8;4.3;3.3;3.2;59.8;60.1;62.7;62.4;47.2;48.8;50.2;49.5;4;8;9;17;20;0;0;0;0;0;E
BB/G;12;2;4;62;2;25/08/2022;MG;3.1;0.2702703 ;478.08;1;22/08/2022;4;MG;3.2;2.6;2.8;2.4;56.9;56.6;58.9;56.6;45.8;45.5;46.4;46.6;28;40;22;62;17;0;0;0;2;0;E
RB/B;11;2;4;49;2;23/08/2022;MG;2;0.2986111;481.52;3;18/08/2022;770;MG;2.8;3.2;2.6;2.5;56.1;55.2;58.1;57.7;45.2;44.9;45.2;46.4;6;11;6;17;5;0;0;0;1;1;E
RB/G;8;2;4;14;4;25/08/2022;VM;834;0.3028233;997.34;1;22/08/2022;3;MG;2.6;2.4;2.7;2.4;54.1;54.2;56.6;55.9;44.3;44.6;44.6;46.0;2;6;3;9;7;4;0;0;1;0;E
RB/R;10;2;4;143;1;24/08/2022;MG;4775;0.3142857;415.7;3;19/08/2022;777;MG;1.9;1.6;2.0;2.0;48.3;52.7;52.6;51.0;40.5;44.0;42.8;41.9;4;20;1;21;28;8;0;0;3;0;E
RR/B;9;2;4;48;3;24/08/2022;VM;823;0.3772819;637.79;3;19/08/2022;776;MG;2.7;3.2;2.9;2.9;53.5;56.0;57.2;58.0;45.9;47.6;46.1;46.4;2;28;3;31;4;1;0;0;2;0;E
B/RB;16;3;3;216;2;16/08/2022;JAP;722;0.2707133;382.5;1;13/08/2022;4;SGG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;E
B/RR;18;3;3;345;3;17/08/2022;MG;1114;0.3278689;932.56;3;14/08/2022;1095;MG;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;E
BG/R;17;3;3;183;2;15/08/2022;SGG;714;0.2618747;740.72;1;12/08/2022;1;JAP;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;E
G/RR;14;3;3;157;4;17/08/2022;MG;4628;0.2441294;1341.68;3;14/08/2022;1097;MG;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;E
GB/B;15;3;3;155;1;16/08/2022;JAP;4757;0.3287317;1309.03;2;13/08/2022;700;SGG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;E
GR/G;13;3;3;181;4;15/08/2022;MG;4617;0.2689625;1046.35;4;12/08/2022;4600;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;E
B/RB;16;3;4;184;1;24/08/2022;MG;4774;0.331299;731.89;4;19/08/2022;4640;MG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;E
B/RR;18;3;4;91;1;25/08/2022;MG;3;0.2643369 ;434.75;1;22/08/2022;5;MG;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;E
BG/R;17;3;4;30;2;23/08/2022;MG;1;0.2472678;538.73;3;18/08/2022;1119;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;E
G/RR;14;3;4;109;1;25/08/2022;MG;1;0.2871194;1196.06;3;22/08/2022;783;VM;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;E
GB/B;15;3;4;28;4;24/08/2022;VM;4658;0.3180328;987.64;3;19/08/2022;775;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;E
GR/G;13;3;4;29;3;23/08/2022;VM;806;0.2581081;643.79;4;18/08/2022;4635;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;E
BG/G;20;4;3;21;3;15/08/2022;MG;1101;0.2424504;808.42;1;12/08/2022;3;JAP;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;E
GB/G;22;4;3;376;2;15/08/2022;SGG;713;0.2433132;704.83;2;12/08/2022;693;JAP;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;E
GG/G;24;4;3;361;3;16/08/2022;MG;1108;0.2088285;1324.27;4;13/08/2022;4605;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;E
GG/R;21;4;3;110;1;17/08/2022;JAP;763;0.209752;1619.89;1;14/08/2022;1;SGG;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;E
GR/R;19;4;3;169;1;17/08/2022;JAP;765;0.2348361;935.71;1;14/08/2022;2;SGG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;E
R/RR;23;4;3;56;2;16/08/2022;JAP;720;0.2862206;1005.46;3;13/08/2022;1089;MG;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;E
BG/G;20;4;4;39;3;23/08/2022;VM;808;0.2867232 ;371.59;1;18/08/2022;4;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;E
GB/G;22;4;4;243;4;23/08/2022;VM;4652;0.1944202 ;551.72;4;18/08/2022;4634;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;E
GG/G;24;4;4;658;1;24/08/2022;MG;4773;0.2303943;656.1;1;19/08/2022;3;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;E
GG/R;21;4;4;89;3;25/08/2022;VM;4673;0.2412178;1282.95;3;22/08/2022;782;VM;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;E
GR/R;19;4;4;32;3;25/08/2022;VM;4675;0.2924236;913.89;2;22/08/2022;1132;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;E
R/RR;23;4;4;58;3;24/08/2022;VM;822;0.3677448;1010.77;2;19/08/2022;1125;MG;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;E
B/BB;25;5;3;78;2;16/08/2022;JAP;721;0.2397661;1184.8;2;13/08/2022;698;SGG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;E
B/BR;28;5;3;190;3;15/08/2022;MG;1103;0.3198937;892.36;3;12/08/2022;1088;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;E
B/RG;29;5;3;377;4;16/08/2022;MG;4624;0.3610988;1126.01;3;13/08/2022;1091;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;E
G/BG;30;5;3;325;2;17/08/2022;JAP;2;0.2462335;413.77;4;14/08/2022;4611;MG;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;E
G/BR;27;5;3;51;2;17/08/2022;JAP;3;0.2336066;707.92;4;14/08/2022;4610;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;E
G/RB;26;5;3;42;1;15/08/2022;SGG;3;0.2680549;1504.92;3;12/08/2022;1087;MG;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;4;3;7;7;4;0;0;2;0;E
B/BB;25;5;4;325;4;24/08/2022;VM;4659;0.2879929;874.66;2;19/08/2022;1126;MG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;E
B/BR;28;5;4;121;4;23/08/2022;VM;4654;0.3424408;674.55;4;18/08/2022;4636;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;E
B/RG;29;5;4;48;3;24/08/2022;VM;821;0.3419204;790.3;2;19/08/2022;1127;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;E
G/BG;30;5;4;72;4;25/08/2022;VM;835;0.3578154;701.86;4;22/08/2022;4646;VM;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;E
G/BR;27;5;4;200;4;25/08/2022;VM;833;0.3147541 ;939.38;2;22/08/2022;1131;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;E
