ID;Shoal;TL;SL;Mass;a;b;Spleen Mass;Sex;BS_tot;BT_tot;Other;Diss
C2.TRI.SH1.1;1;80;63,8;8,5;0,0174;3,3138;0,0117;M;618;26;0;Ariane
C2.TRI.SH1.2;1;72,5;59,9;6,3;0,0174;3,3138;0,0104;F;502;13;0;Andréa
C2.TRI.SH1.3;1;72;58,8;6,5;0,0174;3,3138;0,0056;NA;538;33;1;Ariane
C2.TRI.SH1.4;1;65;54,4;4,9;0,0174;3,3138;0,0043;F;471;5;0;Andréa
C2.TRI.SH1.5;1;66,8;54,2;4,7;0,0174;3,3138;NA;M;939;5;0;Ariane
C2.TRI.SH1.6;1;60,8;49,2;3,4;0,0174;3,3138;0,0045;F;255;9;0;Ariane
C2.TRI.SH1.7;1;63,6;51,3;4,1;0,0174;3,3138;0,0035;F;375;2;0;Andréa
C2.TRI.SH2.1;2;79,5;63;8,3;0,0174;3,3138;0,0075;F;162;29;0;Ariane
C2.TRI.SH2.2;2;83,6;66,7;8,9;0,0174;3,3138;NA;M;558;8;2;Ariane
C2.TRI.SH2.3;2;75,3;60,4;7,9;0,0174;3,3138;0,0105;F;323;27;1;Andréa
C2.TRI.SH2.4;2;72;58,2;5,6;0,0174;3,3138;0,0071;F;154;30;0;Andréa
C2.TRI.SH2.5;2;62,9;53,1;4,3;0,0174;3,3138;0,0022;F;276;7;0;Ariane
C2.TRI.SH2.6;2;65,6;54,9;4,4;0,0174;3,3138;NA;F;246;1;0;Andréa
C2.TRI.SH2.7;2;58,4;48,8;3,1;0,0174;3,3138;0,0033;F;535;0;0;Andréa
C2.TRI.SH3.1;3;81,6;67,9;9,7;0,0174;3,3138;0,0113;F;609;13;1;Ariane
C2.TRI.SH3.2;3;79,4;62,5;8,3;0,0174;3,3138;0,0134;F;195;15;0;Andréa
C2.TRI.SH3.3;3;78,5;62,6;8,3;0,0174;3,3138;0,0107;F;391;37;2;Ariane
C2.TRI.SH3.4;3;55,3;45,8;2,8;0,0174;3,3138;0,0005;M;379;15;0;Ariane
C2.TRI.SH3.5;3;75,5;60,8;7,4;0,0174;3,3138;0,0119;F;245;3;0;Andréa
C2.TRI.SH3.6;3;66,3;53,6;4,6;0,0174;3,3138;NA;M;373;5;0;Ariane
C2.TRI.SH3.7;3;62,2;50,9;3,8;0,0174;3,3138;NA;M;256;21;0;Ariane
C2.TRI.SH4.1;4;80,1;64,8;8;0,0174;3,3138;0,0034;M;783;7;0;Ariane
C2.TRI.SH4.2;4;77,3;64,9;8;0,0174;3,3138;0,0082;F;252;13;0;Ariane
C2.TRI.SH4.3;4;73,8;59,3;6,7;0,0174;3,3138;0,0047;M;284;2;0;Ariane
C2.TRI.SH4.4;4;78,6;66,9;8,3;0,0174;3,3138;0,0014;M;300;10;0;Ariane
C2.TRI.SH4.5;4;66,9;53,3;4,4;0,0174;3,3138;NA;M;292;43;0;Ariane
C2.TRI.SH4.6;4;62,6;52;3,7;0,0174;3,3138;0,0017;F;396;12;0;Ariane
C2.TRI.SH4.7;4;63,8;51,9;4,4;0,0174;3,3138;0,0096;NA;326;3;0;Ariane